Change component parameters: Designator = "X10" ("X10"); Footprint = "USB405603A"; UniqueID = "\KLNMBHOG" ("\KLNMBHOG")
Change component parameters (AddParameter): Name = "Arrow Part Number"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Arrow Price/Stock"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "https://www.mouser.jp/datasheet/2/837/usb4056-2448808.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "3.56mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "GCT (GLOBAL CONNECTOR TECHNOLOGY)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "USB4056-03-A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Part Number"; Value = "640-USB4056-03-A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Price/Stock"; Value = " "; VariantName = "[No Variations]"
Added Component: Designator=C8(0603_CAP)
Add component (AddParameter): Name = "Dielectric"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Percent Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10u"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=C9(0603_CAP)
Add component (AddParameter): Name = "Dielectric"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Percent Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10u"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=C10(0603_CAP)
Add component (AddParameter): Name = "Dielectric"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Percent Tolerance"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.1u"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=D5(0805_LED)
Added Component: Designator=IC4(SOT95P280X130-5N)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "MIC5225-1.8YM5-TR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/mic5225-1.8ym5-tr/microchip-technology?region=nac"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en579718"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.3mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "Microchip"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "MIC5225-1.8YM5-TR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "998-MIC5225-1.8YM5TR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MIC5225-1.8YM5-TR?qs=U6T8BxXiZAW23RI71jjM5w%3D%3D"; VariantName = "[No Variations]"
Added Component: Designator=IC5(QFN40P300X300X105-25N-D)
Add component (AddParameter): Name = "Arrow Part Number"; Value = "ICM-20948"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/icm-20948/invensense?region=nac"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://product.tdk.com/system/files/dam/doc/product/sensor/mortion-inertial/imu/data_sheet/ds-000189-icm-20948-v1.3.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.05mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "ICM-20948"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "410-ICM-20948"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/TDK-InvenSense/ICM-20948?qs=u4fy%2FsgLU9OtGc31yF%2Friw%3D%3D"; VariantName = "[No Variations]"
Added Component: Designator=Q1(SOT23-3)
Add component (AddParameter): Name = "Automotive"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Automotive Grade"; Value = "Grade 0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Trans"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
